Title,Director,MetaScore,Duration (minutes),IMDb Rating,Certificates,Star Cast,Genre,Year,Genre Value
The Wizard,Todd Holland,0.13483146067415727,0.1992619926199262,0.3928571428571428,PG,Fred Savage,Adventure,0.6666666666666643,0.058823529411764705
Bugsy Malone,Alan Parker,0.6741573033707865,0.17343173431734318,0.5178571428571428,G,Jodie Foster,Comedy,0.5462962962962941,0.23529411764705882
Ice Age: Dawn of the Dinosaurs,Carlos Saldanha,0.4382022471910113,0.17712177121771214,0.5357142857142858,PG,Ray Romano,Animation,0.8518518518518512,0.1176470588235294
Hotel Transylvania 3: Summer Vacation,Genndy Tartakovsky,0.4831460674157303,0.18819188191881916,0.4285714285714286,PG,Adam Sandler,Animation,0.9351851851851833,0.1176470588235294
Toys,Barry Levinson,0.3258426966292135,0.2656826568265682,0.2142857142857143,PG-13,Robin Williams,Adventure,0.6944444444444429,0.058823529411764705
It Takes Two,Andy Tennant,0.3820224719101124,0.2029520295202952,0.3571428571428572,PG,Kirstie Alley,Comedy,0.7222222222222214,0.23529411764705882
The Game Plan,Andy Fickman,0.3707865168539326,0.23616236162361623,0.4464285714285716,PG,Dwayne Johnson,Comedy,0.8333333333333321,0.23529411764705882
Fantasia,James Algar,0.9550561797752809,0.2878228782287823,0.6785714285714286,G,Leopold Stokowski,Animation,0.2129629629629619,0.1176470588235294
Trolls World Tour,Walt Dohrn,0.449438202247191,0.16605166051660517,0.3928571428571428,PG,Anna Kendrick,Animation,0.9537037037037024,0.1176470588235294
Happy Feet,George Miller,0.7415730337078652,0.2287822878228782,0.4464285714285716,PG,Elijah Wood,Animation,0.8240740740740726,0.1176470588235294
White Bird,Marc Forster,0.5179775280898876,0.27306273062730624,0.5892857142857144,Not Rated,Gillian Anderson,Adventure,0.981481481481481,0.058823529411764705
Major Payne,Nick Castle,0.2584269662921348,0.18081180811808115,0.4285714285714286,PG-13,Damon Wayans,Adventure,0.7222222222222214,0.058823529411764705
Meet the Robinsons,Stephen J. Anderson,0.5617977528089888,0.18081180811808115,0.5178571428571428,G,Daniel Hansen,Animation,0.8333333333333321,0.1176470588235294
Paul Blart: Mall Cop,Steve Carr,0.3146067415730337,0.16605166051660517,0.25,PG,Kevin James,Action,0.8518518518518512,0.0
The BFG,Steven Spielberg,0.6179775280898877,0.26199261992619927,0.4285714285714286,PG,Mark Rylance,Adventure,0.9166666666666643,0.058823529411764705
Snow White and the Seven Dwarfs,William Cottrell,0.9550561797752809,0.13653136531365315,0.6607142857142858,Approved,Adriana Caselotti,Animation,0.18518518518518334,0.1176470588235294
Home Alone 2: Lost in New York,Chris Columbus,0.3932584269662921,0.27306273062730624,0.5357142857142858,PG,Macaulay Culkin,Adventure,0.6944444444444429,0.058823529411764705
Corpse Bride,Tim Burton,0.8089887640449438,0.11439114391143909,0.6250000000000002,PG,Johnny Depp,Animation,0.8148148148148131,0.1176470588235294
Tall Girl,Nzingha Stewart,0.5179775280898876,0.2029520295202952,0.2321428571428572,TV-PG,Ava Michelle,Comedy,0.9444444444444429,0.23529411764705882
Elf,Jon Favreau,0.6179775280898877,0.18819188191881916,0.5714285714285714,PG,Will Ferrell,Adventure,0.7962962962962941,0.058823529411764705
The Chronicles of Narnia: The Voyage of the Dawn Treader,Michael Apted,0.4719101123595506,0.24723247232472326,0.4285714285714286,PG,Ben Barnes,Adventure,0.8611111111111107,0.058823529411764705
Daddy's Home,Sean Anders,0.348314606741573,0.18450184501845016,0.4107142857142858,PG-13,Will Ferrell,Comedy,0.9074074074074048,0.23529411764705882
Babe,Chris Noonan,0.8089887640449438,0.16605166051660517,0.5357142857142858,G,James Cromwell,Comedy,0.7222222222222214,0.23529411764705882
Freaky Friday,Gary Nelson,0.449438202247191,0.19188191881918817,0.4285714285714286,G,Barbara Harris,Comedy,0.5462962962962941,0.23529411764705882
Luck,Peggy Holmes,0.4157303370786517,0.21771217712177118,0.4464285714285716,G,Eva Noblezada,Animation,0.9722222222222214,0.1176470588235294
The Chronicles of Narnia: Prince Caspian,Andrew Adamson,0.5730337078651685,0.3837638376383763,0.4642857142857144,PG,Ben Barnes,Action,0.8425925925925917,0.0
The Land Before Time,Don Bluth,0.6179775280898877,0.08487084870848707,0.6250000000000002,G,Pat Hingle,Animation,0.6574074074074048,0.1176470588235294
Air Bud,Charles Martin Smith,0.5179775280898876,0.19188191881918817,0.25,PG,Michael Jeter,Comedy,0.7407407407407405,0.23529411764705882
Bedtime Stories,Adam Shankman,0.24719101123595508,0.19557195571955718,0.375,PG,Adam Sandler,Adventure,0.8425925925925917,0.058823529411764705
Tom & Jerry,Tim Story,0.23595505617977527,0.2029520295202952,0.25,PG,Chloë Grace Moretz,Animation,0.9629629629629619,0.1176470588235294
The Kid Who Would Be King,Joe Cornish,0.6179775280898877,0.27306273062730624,0.3928571428571428,PG,Louis Ashbourne Serkis,Action,0.9444444444444429,0.0
All Dogs Go to Heaven,Don Bluth,0.4382022471910113,0.1402214022140221,0.5,G,Dom DeLuise,Animation,0.6666666666666643,0.1176470588235294
Nanny McPhee,Kirk Jones,0.5393258426966292,0.18819188191881916,0.4821428571428572,PG,Emma Thompson,Comedy,0.8148148148148131,0.23529411764705882
Turbo,David Soren,0.5280898876404495,0.18450184501845016,0.4464285714285716,PG,Ryan Reynolds,Animation,0.8888888888888893,0.1176470588235294
Ferdinand,Carlos Saldanha,0.5280898876404495,0.2287822878228782,0.5,PG,John Cena,Animation,0.9259259259259238,0.1176470588235294
FernGully: The Last Rainforest,Bill Kroyer,0.6292134831460674,0.11070110701107008,0.4642857142857144,G,Samantha Mathis,Animation,0.6944444444444429,0.1176470588235294
Dinosaur,Eric Leighton,0.5056179775280899,0.13284132841328414,0.4464285714285716,PG,D.B. Sweeney,Animation,0.768518518518519,0.1176470588235294
Mary Poppins Returns,Rob Marshall,0.6179775280898877,0.30996309963099633,0.5,PG,Emily Blunt,Adventure,0.9351851851851833,0.058823529411764705
The SpongeBob SquarePants Movie,Stephen Hillenburg,0.6292134831460674,0.15129151291512913,0.5892857142857144,PG,Tom Kenny,Animation,0.8055555555555536,0.1176470588235294
The Spiderwick Chronicles,Mark Waters,0.5730337078651685,0.18450184501845016,0.4642857142857144,PG,Freddie Highmore,Action,0.8425925925925917,0.0
Small Soldiers,Joe Dante,0.5179775280898876,0.23616236162361623,0.4285714285714286,PG-13,Kirsten Dunst,Action,0.75,0.0
How to Train Your Dragon: The Hidden World,Dean DeBlois,0.6741573033707865,0.21402214022140217,0.6250000000000002,PG,Jay Baruchel,Animation,0.9444444444444429,0.1176470588235294
George of the Jungle,Sam Weisman,0.4719101123595506,0.16974169741697417,0.2857142857142858,PG,Brendan Fraser,Action,0.7407407407407405,0.0
A Cinderella Story,Mark Rosman,0.15730337078651688,0.18081180811808115,0.3571428571428572,PG,Hilary Duff,Comedy,0.8055555555555536,0.23529411764705882
Baby's Day Out,Patrick Read Johnson,0.5179775280898876,0.19557195571955718,0.4107142857142858,PG,Lara Flynn Boyle,Adventure,0.7129629629629619,0.058823529411764705
The Aristocats,Wolfgang Reitherman,0.6179775280898877,0.1180811808118081,0.5714285714285714,G,Phil Harris,Animation,0.4907407407407405,0.1176470588235294
A Goofy Movie,Kevin Lima,0.4719101123595506,0.1180811808118081,0.5357142857142858,G,Bill Farmer,Animation,0.7222222222222214,0.1176470588235294
The Angry Birds Movie,Clay Kaytis,0.3595505617977528,0.18819188191881916,0.4285714285714286,PG,Jason Sudeikis,Animation,0.9166666666666643,0.1176470588235294
101 Dalmatians,Stephen Herek,0.4382022471910113,0.21033210332103322,0.3214285714285716,G,Glenn Close,Adventure,0.731481481481481,0.058823529411764705
How the Grinch Stole Christmas,Ron Howard,0.3932584269662921,0.21402214022140217,0.4285714285714286,PG,Jim Carrey,Comedy,0.768518518518519,0.23529411764705882
RV,Barry Sonnenfeld,0.24719101123595508,0.19557195571955718,0.3035714285714286,PG,Robin Williams,Adventure,0.8240740740740726,0.058823529411764705
We Can Be Heroes,Robert Rodriguez,0.449438202247191,0.1992619926199262,0.1428571428571429,PG,YaYa Gosselin,Action,0.9537037037037024,0.0
Space Jam: A New Legacy,Malcolm D. Lee,0.2808988764044944,0.25461254612546125,0.1071428571428572,PG,LeBron James,Animation,0.9629629629629619,0.1176470588235294
Cloudy with a Chance of Meatballs,Phil Lord,0.6179775280898877,0.16236162361623616,0.5357142857142858,PG,Anna Faris,Animation,0.8518518518518512,0.1176470588235294
Nacho Libre,Jared Hess,0.4606741573033708,0.16974169741697417,0.3571428571428572,PG,Jack Black,Comedy,0.8240740740740726,0.23529411764705882
The Good Dinosaur,Peter Sohn,0.6179775280898877,0.17343173431734318,0.5,PG,Jeffrey Wright,Animation,0.9074074074074048,0.1176470588235294
Zathura: A Space Adventure,Jon Favreau,0.6292134831460674,0.2029520295202952,0.4285714285714286,PG,Josh Hutcherson,Action,0.8148148148148131,0.0
Madagascar: Escape 2 Africa,Eric Darnell,0.5617977528089888,0.15867158671586715,0.4821428571428572,PG,Ben Stiller,Animation,0.8425925925925917,0.1176470588235294
Spy Kids 3: Game Over,Robert Rodriguez,0.5168539325842697,0.1402214022140221,0.08928571428571441,PG,Daryl Sabara,Action,0.7962962962962941,0.0
The Dark Crystal,Jim Henson,0.6179775280898877,0.17343173431734318,0.5714285714285714,PG,Jim Henson,Adventure,0.6018518518518512,0.058823529411764705
Ice Age: Continental Drift,Steve Martino,0.4269662921348315,0.15498154981549814,0.4642857142857144,PG,Ray Romano,Animation,0.8796296296296298,0.1176470588235294
Family Switch,McG,0.2921348314606742,0.2214022140221402,0.3214285714285716,PG,Jennifer Garner,Comedy,0.981481481481481,0.23529411764705882
The Lorax,Chris Renaud,0.3932584269662921,0.14760147601476012,0.4464285714285716,PG,Zac Efron,Animation,0.8796296296296298,0.1176470588235294
The Mitchells vs. the Machines,Michael Rianda,0.7865168539325843,0.2509225092250922,0.6607142857142858,PG,Abbi Jacobson,Animation,0.9629629629629619,0.1176470588235294
Ponyo,Hayao Miyazaki,0.8426966292134831,0.2029520295202952,0.6607142857142858,G,Cate Blanchett,Animation,0.8425925925925917,0.1176470588235294
St. Trinian's,Oliver Parker,0.3146067415730337,0.18819188191881916,0.3392857142857144,PG-13,Talulah Riley,Comedy,0.8333333333333321,0.23529411764705882
Into the Woods,Rob Marshall,0.651685393258427,0.29151291512915123,0.3571428571428572,PG,Anna Kendrick,Adventure,0.8981481481481488,0.058823529411764705
The Karate Kid Part II,John G. Avildsen,0.4943820224719101,0.24723247232472326,0.3928571428571428,PG,Pat Morita,Action,0.6388888888888893,0.0
Kiki's Delivery Service,Hayao Miyazaki,0.8314606741573034,0.21033210332103322,0.6964285714285714,G,Kirsten Dunst,Animation,0.6666666666666643,0.1176470588235294
Super Mario Bros.,Annabel Jankel,0.2696629213483146,0.21402214022140217,0.0535714285714286,PG,Bob Hoskins,Adventure,0.7037037037037024,0.058823529411764705
