Title,Director,MetaScore,Duration (minutes),IMDb Rating,Certificates,Star Cast,Genre,Year
The Talented Mr. Ripley,Anthony Minghella,76.0,139.0,7.4,R,Matt DamonGwyneth PaltrowJude Law,Crime,1999
The Outsiders,Francis Ford Coppola,45.0,91.0,7.0,PG,C. Thomas HowellMatt DillonRalph Macchio,Crime,1983
The Departed,Martin Scorsese,85.0,151.0,8.5,R,Leonardo DiCaprioMatt DamonJack Nicholson,Crime,2006
Goodfellas,Martin Scorsese,92.0,145.0,8.7,R,Nicholas PileggiMartin Scorsese,Biography,1990
MaXXXine,Ti West,66.9,103.0,7.1,R,Ti West,Crime,2024
The Wolf of Wall Street,Martin Scorsese,75.0,180.0,8.2,R,Leonardo DiCaprioJonah HillMargot Robbie,Biography,2013
The Batman,Matt Reeves,72.0,176.0,7.8,PG-13,Matt ReevesPeter CraigBob Kane,Action,2022
The Courier,Daniel Calparsoro,66.9,116.3,6.0,R,Arón PiperMaría PedrazaLuis Tosar,Crime,2024
The Dark Knight,Christopher Nolan,84.0,152.0,9.0,PG-13,Jonathan NolanChristopher NolanDavid S. Goyer,Action,2008
Killers of the Flower Moon,Martin Scorsese,89.0,206.0,7.6,R,Leonardo DiCaprioRobert De NiroLily Gladstone,Crime,2023
Pulp Fiction,Quentin Tarantino,95.0,154.0,8.9,R,Quentin TarantinoRoger Avary,Crime,1994
Force of Nature: The Dry 2,Robert Connolly,58.0,120.0,6.0,R,Eric BanaAnna TorvDeborra-Lee Furness,Crime,2024
The Crow,Rupert Sanders,66.9,116.3,7.1,R,Bill SkarsgårdFKA twigsDanny Huston,Action,2024
Anatomy of a Fall,Justine Triet,86.0,151.0,7.7,R,Sandra HüllerSwann ArlaudMilo Machado-Graner,Crime,2023
The Bikeriders,Jeff Nichols,73.0,116.0,7.5,R,Jodie ComerAustin ButlerTom Hardy,Crime,2023
The Godfather,Francis Ford Coppola,100.0,175.0,9.2,R,Mario PuzoFrancis Ford Coppola,Crime,1972
The Gentlemen,Guy Ritchie,51.0,113.0,7.8,R,Guy RitchieIvan AtkinsonMarn Davies,Action,2019
The Judge,David Dobkin,48.0,141.0,7.4,R,Nick SchenkBill DubuqueDavid Dobkin,Crime,2014
The Last Stop in Yuma County,Francis Galluppi,72.0,90.0,7.0,R,Jim CummingsFaizon LoveJocelin Donahue,Crime,2023
Beverly Hills Cop: Axel F,Mark Molloy,66.9,115.0,7.1,R,Will BeallTom GormicanKevin Etten,Action,2024
Bad Boys: Ride or Die,Adil El Arbi,66.9,116.3,7.1,R,Will SmithMartin LawrenceVanessa Hudgens,Action,2024
Love Lies Bleeding,Rose Glass,77.0,104.0,6.7,R,Anna BaryshnikovKristen StewartDave Franco,Action,2024
Hit Man,Richard Linklater,83.0,115.0,7.4,R,Adria ArjonaGlen PowellRetta,Action,2023
Longlegs,Oz Perkins,66.9,101.0,7.1,R,Nicolas CageMaika MonroeAlicia Witt,Crime,2024
Disturbia,D.J. Caruso,62.0,105.0,6.8,PG-13,Christopher LandonCarl Ellsworth,Crime,2007
A Simple Favor,Paul Feig,67.0,117.0,6.8,R,Anna KendrickBlake LivelyHenry Golding,Comedy,2018
Emilia Perez,Jacques Audiard,70.0,116.3,7.2,R,Jacques AudiardThomas BidegainNicolas Livecchi,Comedy,2024
Boy Kills World,Moritz Mohr,47.0,111.0,6.5,R,Tyler Burton SmithArend RemmersMoritz Mohr,Action,2023
Monster,Rako Prijanto,66.9,86.0,4.6,TV-MA,Marsha TimothyAlex AbbadAnantya Kirana,Horror,2023
